200531 153100.285|CONFIG|main|setFileHandlers|Now logging to E:\Code\BT tren lp\DaA2020\pc2Client\bin\logs directory.
200531 153100.287|INFO|main|info|
200531 153100.292|INFO|main|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_221 build 5102 Windows 10 10.0 (x86) 
200531 153100.292|INFO|main|startLog|Working directory is E:\Code\BT tren lp\DaA2020\pc2Client\bin
200531 153100.300|INFO|main|startLog|Process id is 9520@DESKTOP-V75864E
200531 153100.301|INFO|main|start|Starting ConnectionManager...
200531 153100.568|INFO|main|start|Started ConnectionManager
200531 153100.572|INFO|main|setClientServerAndPort|INIFile File location: file:/E:/Code/BT%20tren%20lp/DaA2020/pc2Client/bin/pc2v9.ini
200531 153100.574|INFO|main|setClientServerAndPort|setClientServerAndPort 203.162.88.119 parsed as 203.162.88.119 port 51002
200531 153100.575|INFO|main|info|Contacting server at 203.162.88.119:51002
200531 153100.575|INFO|main|connectToMyServer|Connecting to 203.162.88.119:51002
